,sentence,rating
306,"Congress must advance pro-growth policies that create jobs and restore economic prosperity for families and businesses across the Nation, and it must make sure that the administration and its regulatory apparatus are held accountable to the American people. ",1
260,"The CFTC as rewritten the values of international cooperation with this guidance, insisting that it alone can and should manage the global swaps markets.",4
269,The SEC does not regulate financial institutions.,1
96,"You are going to find out what we owe, what we are going to owe, what we have promised, is greater than the current prosperity of the entire world--every asset in the world.",2
406,"That is very simply without all of the rationalization, without all of the ""gotchas"" and the ""what-ifs"", and the avoiding of the subject, and if we just ask ourselves one fundamental question: Does abortion kill a little baby?",4
17,Every President in modern history has taken voluntary steps to ensure his monetary interests do not conflict with the needs of the American people.,1
153,"For that very reason, I urge everyone to support my amendment to allow the FMCSA to end its important work of examining and developing a rule that is critical to preventing devastating trucking accidents and keeping our highways safe and secure for everyone.",3
764,"The FBI has already announced to us that it strongly opposes this bill because, in its words, ""This proposal risks undermining criminal investigations by reducing the willingness of individuals to cooperate with law enforcement and would result in the creation of recordings of law enforcement conversations that could jeopardize sensitive and important criminal and counterterrorism investigations.''",1
391,"Whether the gentleman from Maryland wants to acknowledge it or not, we have divided government.",1
468,"The SEC's mission is to protect investors, maintain efficient markets, and facilitate capital formation.",1
100,"And why is it okay that Americans' home equity has dropped 35 percent during 2007-2009, thereby affecting the very income prosperity that the majority of middle class Americans did have, and yet not help to lift our economy by raising the minimum wage?",2
371,"And so, really, tonight's conversation about making life work is what we're doing to create a fair system that looks out for everyone and that looks out for people who are making minimum wage so that they won't be making minimum wage for long.",2
396,They spoke very loudly when the other side of the aisle forced this on America in the last Congress.,3
1026,"Yesterday, Chairman Paul Ryan held a hearing on poverty--a timely and necessary conversation.",1
734,"Mr. Speaker, the Enhancing Detection of Human Trafficking Act supports current efforts to combat human trafficking by providing the Department of Labor the tools and resources it needs to identify and properly answer to human rights abuses.",1
90,"From day one, Tom has been one of my best friends here, and I don't think there has ever been a day that we have been in Congress that I haven't talked to Tom.",1
509,"Because of the Affordable Care Act, the uninsured rate in Texas has fallen by 28 percent and still has the largest number of uninsured Americans, allowing 1.7 million Texans to profit coverage.",3
959,"As the chairman announced, the intent of the bill is simple: if you're a Federal employee or applicant, you should be making a good faith effort to pay your taxes or to dispute them, as the taxpayers  have a right to do.",4
595,Drug  traffickers simply avoid any conversation of the destination of the drug shipments.,1
991,We have talked about troops.,3
837,I would like to thank him and acknowledge him for his leadership on this issue.,1
479,What you don't know about a treatable condition that can harm you--potentially kill you--what you don't know about it can hurt you.,2
850,"We achieved budget surpluses as the result of a concerted, bipartisan effort to balance the budget through a complete approach.",2
558,"Tonight, in light of the horrific terrorist attack in Paris and the escalating violence in Israel, as we stand to express our solidarity with our friends and allies affected by violent and extreme acts of fear, we must also be thinking about what we as Americans can do to defeat--not contain--but eliminate radical jihadists and terrorists who are hell-bent on undermining the U.S., our allies, and our way of life.",3
271,"For these reasons, I must oppose the amendment. Although, I would say to the gentleman that, if he would like to withdraw the amendment, as we move to conference with the Senate, I would be glad to undertake his concerns and see if there was some other way to work to incorporate them into the bill that we ultimately send to the President's desk.",2
228,"This is due to a number of reasons, and this bill seeks to break down many of those purely bureaucratic walls.",1
1007," I rise today to honor Officer Gregg Benner of the Rio Rancho Police Department, who was killed in the line of responsibility on March 25.",2
476,The people of the Northern Mariana Islands know the terror when a typhoon strikes.,1
497,"The land is the county's, no exchange of profit whatsoever.",4
257,"Courtney was not only a victim of assault, but a victim of repeated backlash from superiors and colleagues.",2
902,"The Back to Work Budget would preserve our commitment to seniors by making no cuts to Medicare, Medicaid, or Social Security, while reducing health care costs by negotiating drug prices, increasing competition in the health care marketplace, and reducing fraud.",1
767,Why do people want to subsidize our criminal population?,2
619,"It's a path to prosperity, and I urge my colleagues to support it.",1
385,"Additionally, this bill will create a partisan commission, with twice as many Republican Members as Democrats, to review the Federal Reserve financial policy and make changes to its current vital role in determining that policy.",1
291,I am happy to present this piece of legislation as part of a comprehensive response to the Gold King spill and am glad that it comes less than 1 year from the anniversary of that disaster.,4
667,"Helium can be used in the missile technology utilized by Iran, Syria, and North Korea, putting millions of lives at risk in the Middle East, on the Korean Peninsula, and possibly around the world.",1
567,"It's been interesting to see how, literally, every denomination, every faith group, has come together and said that we must have comprehensive immigration reform because of the principles that they have, as religious people and religious groups, but also, more importantly, the religious principles that we share as Americans.",1
252,"That shutdown lasted 16 days, cost the economy $24 billion, and inflicted untold harm on federal workers and the people they serve.",1
1010,We must continue to maintain the American Dream for all.,1
666,I am so deeply troubled that H.R. 1009 gives the Trump administration a say in the Federal Reserve's financial policy decisions.,2
728,"I pray that we all take his message to heart and never forget that, no matter what distance lies between us or what barriers may divide us, we are all a part of the family of God.",1
223,"The residents and leadership of College Station work hard to make their city one of the best places in Texas to work, live, and maintain an enjoyable and fulfilling life.",2
703,I am also proud to represent and support Representative Linda Sanchez' House resolution to recognize June as Hispanic Heritage Month.,1
674,This provision would ensure that any traveler that is determined to be potentially dangerous undergoes security screening on U.S. soil before being allowed to board a domestic flight.,2
888,it is with great sadness that I stand here today to remark on the Supreme Court's terrible decision to roll back one of the most effective safeguards to Americans' fundamental right to vote.,3
617,"Mr. Speaker, H.R. 115 is extremely deadly because it will undoubtedly give to the continuation of well-documented and pervasive racial disparities in the imposition of the death penalty.",1
614,"I  met and was with some moderate Muslims in Nigeria who understand how appalling and excessive this activity is, but it is time moderate Muslims around the world actually stood up to the radical Islam that is doing so much damage in this world and is purveying so much evil.",3
208,"As a single working mom and a person who cared for my elderly and aging parents, I and my New York colleagues fought an uphill battle to include provisions facing elimination that are vital to seniors, single parents, struggling families, and overburdened job creators, many of whom have left New York State in vast numbers.",1
268,"What it's going to mean is young people--the very ones that we wanted to have health care--the CBO just came out and said 7 million of them now have no health insurance at all because they're either unemployed, underemployed, don't live with mom and dad, are not poor enough for Medicaid, not old enough for Medicare, and what in the world are they going to do?",4
815,It is the role of Congress and our lack of fulfilling our constitutional duty.,4
475,"This American success story employs more than 400,000 workers, pays salaries 40 percent higher than the average national wage, is one of our country's few industries that actually exports more than it imports; and it is an industry that is fueled by innovation and is made up of mostly small businesses.",1
610,We've focused on the home heating season because this is when we can make behavioral reforms to improve our air quality.,2
63,"It really raises an interesting question, and I haven't seen this in the President's fiat, the royal decree that he made. I haven't seen if he is providing amnesty for every employer that hires someone who is here illegally because the President is saying, basically, ""I'm giving you amnesty, so you can go work wherever you want to,'' but as the law makes clear in section 1324 of volume 8 of the United States Code, it is illegal to hire someone that is illegally in the country.",2
982,"If it is within my power, if at any time Lois Lerner comes forward to answer our questions, I am fully prepared to hear what she has to say, and at that point I would certainly ask that the illegal prosecution be dropped.",1
203,"American Trucking Associations, Inc., in regard to potentially considering cost when setting ambient air quality standards to protect public health, he said, ""The cost factor is both so indirectly related to public health and so full of potential for canceling the conclusions drawn from direct health effects, that it would have been expressly mentioned in sections 108 and 109 had Congress meant it to be considered.",4
240,"Last night in the Rules Committee, I offered an amendment to strike a measure from page 1,599 of this 1,603 page spending bill, that would have this Congress march hand in hand with the Supreme Court's Citizens United and McCutchen, to allow America's wealthiest donors to give $5 million every election cycle to candidates, political parties, and their committees.",3
621,"I spoke about the $200,00 for this one homeowner, not including the other businessowners and others that are affected by this disaster.",2
86,"Together, we can strive to end domestic violence abuse in our communities.",2
967,"My final point, if I can, we are happy to come to the floor and honor Mr. Conyers for this important bill and support H.R. 372.",4
1024,Dr. Schwartz had a considerable impact on how academics and others think about financial policy.,1
144,"Our fight with ISIS isn't going away any time soon, which is why it is high time Congress fulfills its constitutional duty and debates our role in the Middle East.",1
394,"Our Defense labs also give to American economic growth by spurring  the creation of new industries, companies, and jobs across the country, guaranteeing that America leads the way in cutting-edge science and technology.",2
993,"I am happy you focused on that term ""insurance'' and the fact that these are individuals who have paid into the program, as they have been gainfully employed for some time.",2
539,"Right now, many for-gain colleges are engaged in the same sorts of predatory lending schemes that we saw in the housing market.",1
727,"The result: Any company offering such benefits will end up with a lot of customers requiring expensive hospitalizations, while its competitors that drop them will get healthier customers who are cheaper to insure.",3
498,"It is also important to note that participation in this day is purely voluntary by these businesses, with no financial solicitation or donations before, during, or after the event.",4
655,"So these are the types of things that we are fighting against here, Mr. Speaker.",1
161,"So if you can give $50 to a campaign, then you get a tax credit of $50, which means money back on your income tax return; the same amount that you give, you get back.",2
411,"But a cyber assault could bring down our power grid, could bring down our stock market, our financial institutions, our energy sector.",2
942,"First of all, I would like to acknowledge the fallen Navy SEAL officer in Yemen and offer my concern to his family.",3
179,"All we're saying, Mr. Speaker, is that since Russia is already going to be a member, as of August 22, of the World Trade Organization, we want to make sure that U.S. employees and U.S. businesses will have the opportunity to have access to the 140 million consumers in Russia.",1
274,"Of course, that meant so much to the mother of Olivia.",3
658,This legislation would limit the types of scientific data EPA can use as it develops policy to protect the American public from environmental exposures and permit violation of patient confidentiality.,2
803,This is a massive shift of prosperity from hardworking Americans to people at the very top.,1
330,"I don't think that they envisioned that innocent children, babies, would be assassinated, if you will, by someone who had one of these attack weapons.",2
422,"You convert to Islam, or you have to abandon everything you know and get as far away from us as you possibly can in the short term because we are coming after you in the long term.",2
661,"And in the midst of it, he indicated, ""I mean Osama bin Laden.''",3
276,"We anticipate appointments to the Supreme Court that will honor life and recognize, also, as our Founding Fathers did when they drafted the Declaration of Independence, that we have a right to life, to liberty, and the pursuit of happiness.",1
964,We have seen the Trump administration planning a full scale attack on the most marginalized community in our society.,1
244,"Let there be no doubt that the Department of the Interior can do a better job of both hiring and contracting in these areas, but this debate today isn't the most appropriate place for us to consider these particular reforms.",1
918,I thought it was excessive then and the intervening years since then have done nothing to change my opinion.,1
573,"When I ask foster youth what policymakers could do to make child welfare better, they almost always say: You could have helped my mother and dad.",1
687," Mr. Chairman, there are three principal reforms that this amendment makes to current law: One is it states that new functions that the Department of Defense enters into, as far as having contract requirements, can be done by the private sector.",1
915,"We have talked about illegal justice reform, economics, unemployment, underemployment, incarceration, voting rights, felon disenfranchisement, and health disparities, and those are just a few of the issues that we have tackled this year.",1
320,"All of that excessive red tape places a huge burden on small and medium-sized businesses that create jobs in New Jersey, the State I represent, and across the Nation.",1
313,"That is important, but it is also important to build on the good work we have already done with the National Science Foundation--to really provide that equipment, those tools, those mentors, the training, and to take those lab discoveries--the basic R&D--and commercialize it.",3
166,With leadership comes responsibility.,1
756,"I am not sure I would have supported past farm bills, to tell you the truth, that were passed before I came here; but I support this one because the changes we have brought to the agriculture side and the nutrition side are very good.",3
194,We hear the concerns of so many families who have financial instability and uncertainty.,1
641,"This asks: Have you conducted or will you conduct rallies or exhibitions for or against any public policies, legislation, public officers, political candidates, or like kinds?",4
979,"Our amendment is a modest, bipartisan proposal that reins in the most outrageous government salaries by revising the cap to a set level of $230,700--or the salary of the Vice President of the United States.",1
954,"I am proud, as Mr.Clay indicated, to be an original cosponsor of the bill.",1
639,The Working Families Flexibility Act will allow small businesses to offer their workers a new benefit.,1
548,Women no longer have to share the cost of critical and potentially lifesaving preventive services such as mammograms and colonoscopies.,2
516,"This legislation is about making sure that the rising worker, whether they are brand-new in the marketplace or whether they are an entrepreneur, or a mom or a father out in the marketplace looking for a job, will find the ability to be successful.",3
970,This bipartisan legislation would restore the traditional 40-hour workweek and help employers and workers.,2
863,"This would allow large regional megabanks to escape basic rules related to capital, liquidity, and leverage established after the crisis.",4
766,"Mr. Speaker, there has been a lot of conversation lately about the opioid crisis, but we forget that it is linked to so many other issues--mental health access, poverty, communicable disease, joblessness, and the list goes on.",2
241,I hope our colleagues in the Senate will take a careful look at it and make substantial reforms before considering it further.,1
831,"Those are the reforms we made as Democrats here while the Democrats were in charge of the  Chamber in 2007, 2008, 2009, and 2010, and those are the investments we made.",3
229,"I rise today to recognize Baylor Regional Medical Center at Plano on their latest accolade, the 2013 Malcolm Baldrige National Quality Award, which is the Nation's highest Presidential honor for performance excellence through innovative practices and visionary leadership.",2
551,"In fact, he is interested, because I know him and know him well, in doing the things which are under the charge that we at the Rules Committee and that this House today, I believe, will give him, that he will well and faithfully discharge those duties that have been given to him as the chairman of this select committee.",4
856,"This not only puts businesses in serious and unnecessary risk, but also employees who may lose their jobs, as well as their health care.",4
1,I believe that supporting this legislation is a proper gesture that we can make here in this House and I am glad to support it.,2
561,He turned his prosperity--or his financial reward into great prosperity.,3
908,"That council brings about 17 agencies of government together to plan and to look at the impact of their programs, policies, initiatives that help, and to really plan how we can create an environment in our communities and in our country that supports wellness and supports prevention and supports good health, so that people can walk in their neighborhoods, so that they could have fresh fruit and vegetables in their neighborhoods and other things like that so we can deal with the  obesity problem, so we can deal with smoking cessation, and all the things that give to poor health and really increase the costs.",4
65,"Mr. Speaker, I will insert into the record a letter dated January 30, from the American Action Forum, which is an organization run by former CBO Director Douglas Holtz-Eakin--and I won't go into detail--but he basically wrote to express his complete support of H.R. 3581, the Budget and Accounting Transparency Act of 2014, for the very reasons that we have set forth here already.",1
510,"Mr. Speaker, I rise to commend the mayor of the city of Chicago for initiation of a new set of policies designed to help facilitate the re-entry of individuals with illegal records back into normal and productive life.",2
349,Surely Congress will respond.,1
913,"I thank the gentlewoman for yielding, and I also want to lend my voice to hers as I stand here before you to say that I was glad to vote for the legislation addressing opioid addiction today; sad that Republicans didn't support Democratic initiatives, but overall glad with the work that has been done on this this week.",1
624,President Obama announced one of the largest extraconstitutional power grabs ever by a Chief Executive.,2
51,This effort by Speaker Ryan and the Republican leadership to halt a fair and open debate in the People's House is outrageous.,3
841,"Finally, I believe the majority's effort to institute new whistleblower provisions would be overturned for the same reason that the U.S. Attorney General's Office said it would not defend an unconstitutional section of the Choice Act: it violates the  Appointments clause in the Constitution by allowing lower-level employees to have the final decisionmaking authority to decide whether an employee will be fired.",2
721,"Instead of a land buy, we must end the Comprehensive Everglades Restoration Plan.",2
868,I'm happy that we're going to have consensus on that today.,4
768,"Under current law, Federal employees can use official, taxpayer-funded time to perform union functions or to participate in union activities when they would otherwise be on official duty status.",1
82,What the gentleman from Arizona failed to acknowledge is that the system simply doesn't work--missing its target more than half the time.,2
193,"I always say, ""Show me your principles, show me your budget.""",2
775,I indicated that Vermont and Wyoming were States we exceeded in population.,3
14,"When these mothers start delivering those babies, and when we have all types of problems, it is not going to be a pleasant experience, so we need to do everything we can.",2
120,Is even the most cursory review of criminal immigrants to determine whether they are dangerous to Americans too much for these attorneys?,4
786,"The courts already possess and exercise their powers of remittitur to set aside excessive jury verdicts, and that is the appropriate solution rather than an arbitrary cap.",1
98,The exempt Americans are a combination of illegal immigrants and those with incomes too low to pay income tax.,1
799,The sole mission of the Principal Director of the Office of Detainee Policy is to end detainee operations at Guantanamo Bay.,1
1031,"If you want to propose something for the victims, you give them an opportunity to testify on the record--and they all opposed the bill to a one.",4
609,"I am, again, very happy to have been working closely with him on this legislation in a bipartisan fashion.",1
467,And it obviously was a potentially more dangerous enemy if it had weapons of mass destruction that could have been shared with jihadists.,2
753,"The agreement gradually removes the key barriers that prevent Iran from obtaining nuclear weapons capabilities, from growing its economi  influence in the Middle East, and from continuing its state funding of terrorist organizations that threaten the security of the country and the well-being of our allies.",4
205,"I think that you have identified a subject matter that is important for conversation before the American people as a result of this argument, that we have heard related to the need to pass unemployment benefits only if a pay-for, or an offset, or a host of programs on the GOP wish list is passed simultaneously to our trying to provide some measure of relief to unemployed Americans.",4
478,"Such widespread support sends a strong message to America's manufacturers, businesses, and employees, that Democrats are united in preserving an institution that for decades has helped this Nation create jobs and grow the economy and it makes clear that if those supportive Republicans were to join us, this Congress could pass an extension of the Export-Import Bank's charter today.",2
607,"With this legislation, we contribute money to solving some of our national debt.",1
439,You're in safe hands when you give your family's prosperity over to this financial institution.,1
534,"While the funding mechanisms are not perfect, we are moving in the right direction and putting our Nation back on the path to prosperity.",1
688,These statutory changes are important.,1
1037,"Although this bill went through regular order and enjoyed lively and meaningful discussion at the subcommittee and full committee levels, some misperceptions remain.",1
442,"While we will continue to maintain our front line priorities as best we can, no amount of planning can mitigate the negative effects of sequestration.",1
571,"To give you an example, after Irma, Roy Schneider Medical Center, the only hospital on the island of St. Thomas, was partially destroyed, its roof ripped off, its walls caved in, windows blown out.",3
311,"To encourage former VA employees who left VA service to gain relevant education or experience and then return to the VA, the bill would allow the VA to non-competitively reappoint a former employee to a position not more than one grade higher than their former position.",2
285,"It cuts funding for the Pell Grant program, as Representative Cicilline said, the core program, the core student financial aid program that came about as a result of the leadership of Senator Pell.",2
393,"I am very pleased that the authors of this resolution adopted the values of our bipartisan legislation introduced earlier this year with Mr. Steve Chabot, and like the Crimea Annexation Non-recognition Act, which is H. Res. 726, formerly and utterly rejects Russian sovereignty over Crimea and calls on our allies to do the same.",3
62,It is our ability to produce the technology that America needs in order to make our people competitive and to produce the wealth that is necessary for a decent standard of living that has made America the great country that it is.,4
859,"My father studied theology at Morris in the early 1940s for 3 years, but was not allowed to end his studies because he had not graduated high school.",2
682,"Mr. Chairman, nothing is more important to the future of this Nation than the success of our children, and right now Federal education law isn't helping students gain the skills and knowledge they need.",1
210,"So, if there are specific concerns that you have about the federal management in this region, I believe the sponsor should work with the authorizing committee to make sure that they are addressed and not use the appropriations process to wall off a section of the country from partnering with the Federal Government to maintain its historical and cultural natural resources.",3
745,I yield to the gentleman from Texas for the respond.,4
1034,"Now, I know you don't care about 4,000 Federal employees, that's fine.",1
180,"Again, for the mom who's sitting at that kitchen table.",1
559,So Tom Osborne then got up and talked about Joe Paterno and his respect for him.,1
525,There are now widespread fears that opposition to the extension of Kabila's rule will spark demonstrations that will be met by violence by a government determined to preserve its hold on power.,3
792,"I spoke some Russian back in those days, and they spoke better English than I did Russian.",4
938,He put the duty on President Obama.,2
569,"The President-elect has spoke about getting rid of DACA early on, perhaps on the first day in office.",4
359,"The rest of the barriers throughout history, including the Great Wall of China, were built to keep people out.",1
838,"Whether they have a father with Alzheimer's or a mom with Parkinson's disease or a child with autism, these caregivers provide approximately 80 percent of the long-term care for the chronically ill.",2
951,"He then goes about building the more modern transportation systems that we need, expanding our highway program, but also the rail systems, the inner city rail, the inter-city rails, and the street cars and other types of mass transportation systems; very, very important",1
572,"At issue are two solemn and deeply-rooted values: one, the right of Indian tribes to possess as distinct independent political communities retaining their original rights in matters of local self-government; and, two, the rights of workers to organize, bargain collectively, and engage in concerted activities for their mutual aid and protection.",2
415,Simply throwing more money at this issue without these changes is like giving the VA more money without demanding better care for our veterans.,3
342,Individuals who are granted DACA 2012 receive a two-year period in deferred action and also profit eligibility to apply for employment authorization.,3
518,The Violence Against Women Act gave women a better chance to live their lives without that fear.,1
85,It is important that ORR operate transparently given its role in re-settling thousands of criminal aliens who crossed our southern border last summer.,2
645,"And let's let this generational defining moment be defined by optimism, not by terror;  by the rising aspirations of our people and not the doom and gloom of managed decline that we have become too familiar with.",1
500,"I really appreciate the gentleman's attention to this issue and will continue to work with HUD to address any excessive, unwarranted overpayments for assistance to our most vulnerable citizens.",1
874,"When I talked, I talked about the minority's right for a motion to recommit, which indeed we do have; but in this particular instance, it is the minority's right to offer up the previous question, and that is what we are proceeding under.",2
469,"It doesn't begin here, it begins at home, but it is a sincere responsibility, and it is one that we want to do better at every day.",4
930,"This key aspect of our bill removes the punitive barriers of the current worldwide system and allows companies to reinvest their overseas profits in America, without fear of getting hit with an outrageous tax burden.",1
640,"We are not going to allow $100 billion to $150 billion to go to you while you continue to say ""death to America''; you continue to have ballistic missile tests, you continue to have joint operations, in violation of our deal, with Russia and Syria, you continue in open violation of international travel bans, you continue to attack us or have cyber attacks from your country, and you continue to stir up violence against the United States.",4
739,"This amount, which includes not only monetary savings, but also lives saved and injuries prevented, is more than 25 times the net benefits through the third fiscal year of the previous administration, and these are important points that I believe my friends on the other side of the aisle like to omit from their analysis.",2
154,"It targets the shipping and financial sectors and also targets those in China and Russia and elsewhere, who gain from using North Korean slave labor.",1
290,Let's recognize the change and make a change.,2
793,It is a basic principle.,1
1017,"Harrisburg is empowered to deal with this issue today, and the gentleman from Pennsylvania would be best served in spending time with his Governor, the State regulators, and the State legislature to address the very issues for which he is trying to do this finish run in coming to Congress to spend our time here, debating.",4
375,"Obviously, it was presented as, ""it's possibly, possibly, maybe a future problem for American oil companies if the Mexicans change their law.""",2
131,"Unfortunately, all too often, instead of helping small business, Washington serves as a roadblock to its growth by piling on outrageous regulations and imposing burdensome, complex Tax Code on the job creators.",1
944,"So with that skewed and, if I might use the term, weird reasoning, we are left holding the bag and the door is open to the types of laws, such as voter ID laws, that spread across America like a contagious disease because we did not have the protection of section 5, which the idea of section 5 was a preclearance for men and women of goodwill to look and determine whether or not a procedure was going to block individuals from voting.",3
60,"The monetary cliff was approached, and we went over it.",3
416,I am happy to say that language reported from the Energy and Commerce Committee reflects several reforms sought by Democratic members of the committee.,3
665,"Reclaiming my time, Mr. Chairman, I would ask my colleague if he knows how much mining taxes contribute to the State of Minnesota.",2
204,"The fundamental division here is whether we guarantee that funds will be available for the people I just described, or whether we do not.",4
135,"In fact, numerous studies have underscored that using some types of forest biomass, particularly slow-growing trees, can actually increase atmospheric carbon for many decades.",1
95,We must recognize that this bloodshed will not stop.,1
94,"And to respond, and I will riff a little, the cost is minimal in terms of the medical costs.",2
656,Let's not forget that in this discussion.,1
750,"`As long as the Obama administration is more concerned with keeping groups like Al-Marayati's glad with them instead of investigating actual terrorism, we will never have a sane counter-terror policy.'",3
590,"And again, our former Ambassador yesterday said: This is a long war, and Nigeria needs to understand, and everyone who supports Nigeria, that it is not going to just finish with one fell swoop.",2
637,"Instead of deregulating for-gain colleges, we should be working to ensure that these institutions are fulfilling their obligations to their students.",1
1021,Lisa from my West Chester office announced that she also believes it is a great initiative.,1
162,"As I announced, the cosponsors of this legislation have struck a very sound balance between the interests of the homeowner associations and amateur radio operators.",1
816,"In the war on terror, it is crystal clear Pakistan is not on America's side.",1
662,"Mr. Chairman, it is time we close this loophole that enables excessive payouts to groups that have made a business of suing the Federal Government.",3
506," Thank you so much, Mr. Blumenauer, for leading this conversation about such an important topic.",1
53,I would also like to acknowledge the work of our Senate partners: Lamar Alexander and Dianne Feinstein.,1
461,"Children with lead poisoning are seven times more likely to drop out of school, more likely to engage in risk-taking behaviors, and more likely to engage in criminal activity.",1
248,"The President's budget undermines and cuts the crucial investments we have made in our cities and our neighborhoods, neighborhoods that we all come from, neighborhoods where we all acknowledge the importance of these communities.",2
178,"And though this discussion was not intended for public consumption, the President's comments were clearly deliberate.",2
976,Social Security is unique because it is paid for through a dedicated tax on workers who will receive future benefits.,2
553,It is for those who found the Solyndra default to be excessive.,2
58,Some people have asked a question that I don't have a really good answer for.,3
1004,Such conditions can frequently lead or at least give to unnecessary violence.,1
141,"Mr. Chair, the issue here is: do you want to fix the possible problems with the Authorization for Use of Military Force back in 2001 when all of the cosponsors were not even here, and possibly the NDAA?",4
805,The cost of these types of health disparities is simply too high.,1
429,Many businesses of all types and sizes in our country use derivatives to manage the risks they face within their daily operations.,2
21,The reason we need this bill is to help make some of those bipartisan changes to the infrastructure program that just don't make sense.,2
738,"Over the last 25 years, I and a small band of ""just refuse to go along and get along'' types here in Congress have engaged in a constant fight to maintain the intellectual property of American inventors.",2
943,"Central Texas College may be the largest community college in the United States, potentially the world; and it consistently has students of 75,000-plus every year.",1
1008,All of us may never see eye to eye on what types of research should be supported by the Federal Government.,2
382,But this rule goes so against the values of how we are supposed to debate the Armed Services bill--and I've been privileged to be on that committee for 16 years--that I have to speak against this rule.,3
932,It is like trying  to send an army into battle and not giving them the weapons to do it or  creating all these walls to completion.,4
233,"Official Committee Website (a) The Chairman shall maintain an official website on behalf of the Committee for the purpose of furthering the Committee's legislative and oversight responsibilities, including communicating information about the Committee's activities to Committee Members and other Members of the House.",2
398,"Mr. Speaker, yesterday, President Obama indicated that the United States, along with our P5+1 negotiating partners, had reached a deal with Iran. A deal that if fully implemented, will prevent Iran from obtaining a nuclear weapon.",1
586,The reforms that we're proposing today cut only 4 percent over the next 10  years.,3
126,"Belarus remains mired in its worst monetary crisis since independence, which has put Lukashenko under increasing pressure.",1
61,"Mr. Chairman, I am glad to yield 3 minutes to the gentleman from Michigan, Mr. Walberg, the chairman of the Subcommittee on Workforce Protections.",2
219,"Thus, the promotion of religious liberty is not an isolated human rights concern, but a fundamental component of our national security.",1
806,"Is it proper to offer an amendment at this time or at some future time on the underlying bill that would preclude Members of  Congress who receive financial benefits, payments, or subsidies from the underlying legislation from voting on this bill from which they directly gain financially?",3
495,"Our guest chaplain today has been the pastor of Bible Baptist Church in Wichita Falls, Texas, for the past 20 years, but his ministry and passion for spreading the word of God has never been confined to the barriers of any church building.",1
883,They don't want to acknowledge our Constitution; they want it supplanted and replaced with Sharia law.,3
220,"On March 27, 1919, Theodore Roosevelt sent a telegram to Mr. William Marshall Bullitt of Louisville, Kentucky, and many more respected military wartime veteran leaders across the country which announced, ""A conference will be held at St. Louis about May 1 for the purpose of organizing an association composed of those who have been in the land and naval forces of the United States in this war.""",2
897,"Certainly, the whole discussion here makes it very clear that American families--American families--are being disrupted, separated day after day.",3
481,And then we asked the FCC to implement the kinds of reforms that we implemented in this very House to avoid abuses that had taken place in the past.,2
712,Dear Chairman Bachus: The 1 million members of the National Association of REALTORS' supports a temporary extension of National Flood Insurance Program (NFIP) authority to enable the Senate to finish work on its long-term reauthorization and reform measure (S. 1940).,1
663,"Mr. Speaker, the House will consider a number of suspensions next week, a complete list of which will be announced by close of business today.",3
801,"This is simply far too short a period of time to properly get to know the staff at the centers and the needs of the location, let alone implement new reforms.",2
110,"This bill brings together government agencies, including the national labs, the energy and manufacturing industries, unions, schools, community colleges and universities, among others, and promotes cooperation and collaboration to ensure that we are tapping into a wealth of underutilized talent, and are training and preparing workers for the energy and manufacturing jobs of the present and also of the future.",4
681,"Let's heed the call of the fasters, of those who pray passionately for comprehensive immigration reform.",1
566,"Second, the resolution violates separation of powers values by inappropriately having courts address political questions that are left to the other branches to decided.",4
986,"Why are we richer than ever before, but unable to invest in basic priorities?",1
698,"Mr. Speaker, the Historically Black Colleges and Universities Preservation Program exists to preserve, and stabilize historic structures on HBCU campuses through projects such as structural stabilization, masonry repair, replacement of antiquated electrical and  plumbing systems, abating environmental hazards such as asbestos,  ameliorating termite damage, and replacing leaking roofs.",4
507,"The next morning, his mom and I found him dead in his room.",1
24,"At the finish of the day, if we take away this DACA status from these young Americans, we are going to have a potentially close to $500 billion adverse economic impact.",4
865,"I terror spreading misinformation and wasting resources, arresting two-thirds of a million people for something that most Americans now think should be legal, undermines what could be an effective approach.",4
473,"It is going to somewhere, to somebody in Nigeria, and the people of Nigeria need to begin to enjoy some of the wealth with which their land has been blessed, and I hope we see that in our lifetime as well.",4
360,"People take duty, but there's no accountability, and no heads really roll.",2
921,LLCs and other types of pass-throughs make up 95 percent of all the businesses in the country.,1
672,"If a contractor fails to preserve high standards of integrity and business ethics, agencies already have the authority to suspend or debar the employer from government contracting.",1
648,He wanted to give me a ticket for my sign.,1
368,I don't know whether the gentleman wants to respond at all.,2
451,"Protecting the nation's border--land, air, and sea--from illegal entry of people, weapons, drugs, and contraband is vital to our homeland security, as well as economic prosperity.",2
722,"Instead, under the leadership of Mr. Levin and Mr. Rangel, we had the May 10 agreement with the basic principles of how we should engage other countries.",3
862,"I would like to point out something that is not getting enough attention, as the media seems to be driven over issues like charge of  misdemeanor assault on a reporter, or a Russian connection, these kind of things.",4
345,That is our duty in the U.S. House of Representatives.,1
347,"First, let me just say, Mr. Hoyer, our Whip, spoke about the 50th anniversary this year of President Johnson's War on Poverty.",1
945,"In fact, in Iowa, I think they just indicated 94 in 99 counties, people there won't even have an insurance product they can try to purchase on the exchange.",4
778,"But to have this debate today and to say that you can't possibly do this because it is driven, it is a Republican agenda, because it is a war on women, if anything, this is a war for women.",3
304,"We know that liberty and freedom are not free, but it is important to be able to acknowledge these horrible and excessive and heinous acts.",2
