original,updated/copied,status,notes,grammar_issue_flag
,,,,
"In fact,  numerous studies have underscored that using some types of forest  biomass, particularly slow-growing trees, can actually increase  atmospheric carbon for many decades.","In fact, numerous studies have underscored that using some types of forest biomass, particularly slow-growing trees, can actually increase atmospheric carbon for many decades.",done,,
,,,,
"I am here today speaking on behalf of single mother Sherry, cancer  survivor Marty, star student Kelty, and little Gracie and her devoted  grandmother Donna.","I am here today speaking on behalf of single mother Sherry, cancer survivor Marty, star student Kelty, and little Gracie and her devoted grandmother Donna.",done,,
,,,,
" Mr. Chairman, I am happy to yield 3 minutes to the  gentleman from Michigan (Mr. Walberg), the chairman of the Subcommittee  on Workforce Protections."," Mr. Chairman, I am happy to yield 3 minutes to the gentleman from Michigan, Mr. Walberg, the chairman of the Subcommittee on Workforce Protections.",done,,
,,,,
"Well, we talked with the Prime Minister in  Libya; we talked with leaders of the Justice Department and the foreign  minister, as well.","Well, we talked with the Prime Minister in Libya, we talked with leaders of the Justice Department and the foreign minister as well.",done,,
,,,,
I am so deeply troubled that H.R. 1009 gives the Trump administration  a say in the Federal Reserve's monetary policy decisions.,I am so deeply troubled that H.R. 1009 gives the Trump administration a say in the Federal Reserve's monetary policy decisions.,done,,
,,,,
I recently received the first monthly  update from the U.S. Department of Veterans Affairs since the announced  delays associated with the Lafayette and Lake Charles VA Community- based Outpatient Clinics.,I recently received the first monthly update from the U.S. Department of Veterans Affairs since the announced delays associated with the Lafayette and Lake Charles VA Community Based Outpatient Clinics.,done,,
,,,,
" Mr. Chair, the issue here is, do you want to fix the  possible problems with the Authorization for Use of Military Force back  in 2001 when all of the cosponsors were not even here and possibly the  NDAA?","Mr. Chair, the issue here is: do you want to fix the possible problems with the Authorization for Use of Military Force back in 2001 when all of the cosponsors were not even here, and possibly the NDAA?",done,,
,,,,
We must ensure that the  passage of time does not allow us to forget that the Cyprus issue is  the result of an criminal invasion and ongoing occupation.,We must ensure that the passage of time does not allow us to forget that the Cyprus issue is the result of an criminal invasion and ongoing occupation.,review,an to a,1
,,,,
"The Federal Reserve's monetary policy impacts the prices every  American pays at the grocery store; the ability of businesses to obtain  the capital necessary to create new jobs; and the value of investments  the average American relies on to provide for their families, educate  their children, and enjoy a secure retirement.","The Federal Reserve's monetary policy impacts the prices every American pays at the grocery store, the ability of businesses to obtain the capital necessary to create new jobs, and the value of investments the average American relies on to provide for their families, educate their children, and enjoy a secure retirement.",done,,
,,,,
"Our fight with ISIS isn't going away  any time soon, which is why it is high time Congress fulfills its  constitutional duty and debates our role in the Middle East.","Our fight with ISIS isn't going away any time soon, which is why it is high time Congress fulfills its constitutional duty and debates our role in the Middle East.",done,,
,,,,
The people before me have spoke so eloquently about our  responsibility as Members of Congress to defend and protect our Nation.,The people before me have spoke so eloquently about our responsibility as Members of Congress to defend and protect our Nation.,review,spoken,1
,,,,
"I have terror that what we face is a situation in which we  will arm folks who subsequently will take negative action against us;  however, when weighing the consequences of taking no action, as many of  my colleagues have indicated, I think we have no choice but to move  forward as this amendment is recommending and the President has  requested.","I have terror that what we face is a situation in which we will arm folks who subsequently will take negative action against us. However, when weighing the consequences of taking no action, as many of my colleagues have indicated, I think we have no choice but to move forward, as this amendment is recommending and the President has requested.",done,,
,,,,
"There are far too many criminal laws, the  number of which we don't know exactly, but which allow a violation of a  regulation to be a crime, which allows the full power of the Federal  Government to go after individuals.","There are far too many criminal laws, the number of which we don't know exactly, but which allow a violation of a regulation to be a crime, which allows the full power of the Federal Government to go after individuals.",done,,
,,,,
"It lets us know if we are gaining  or losing forestland, and it tells us if we have a net loss or net gain  in trees and tree volume.","It lets us know if we are gaining or losing forestland, and it tells us if we have a net loss or net gain in trees and tree volume.",done,,
,,,,
What they really mean when they talk  about ``complete immigration reform''--what they really mean--is  ``amnesty.'',"What they really mean when they talk about ""complete immigration reform''--what they really mean is ""amnesty.''",done,,
,,,,
"In other words, they have got to stand up to the illegal syndicates in  some of these countries.","In other words, they have got to stand up to the illegal syndicates in some of these countries.",done,,
,,,,
It is important that ORR operate transparently given its       role in re-settling thousands of illegal aliens who crossed       our Southern border last summer.,It is important that ORR operate transparently given its role in re-settling thousands of illegal aliens who crossed our southern border last summer.,done,,
,,,,
This is a very important place to acknowledge a group of heroes who  defied expectations and really cemented a legacy of heroism that all  Americans can be proud of.,This is a very important place to acknowledge a group of heroes who defied expectations and really cemented a legacy of heroism that all Americans can be proud of.,done,,
,,,,
"For that very reason, I urge  everyone to support my amendment to allow the FMCSA to end its  important work of examining and developing a rule that is critical to  preventing devastating trucking accidents and keeping our highways safe  and secure for everyone.","For that very reason, I urge everyone to support my amendment to allow the FMCSA to end its important work of examining and developing a rule that is critical to preventing devastating trucking accidents and keeping our highways safe and secure for everyone.",review,seems contradictory to urge to support to end something important,
,,,,
"It targets the shipping and  financial sectors and also targets those, in China and Russia and  elsewhere, who gain from using North Korean slave labor.","It targets the shipping and financial sectors and also targets those in China and Russia and elsewhere, who gain from using North Korean slave labor.",done,,
,,,,
"I am here today speaking on behalf of single mom Sherry, cancer  survivor Marty, star student Kelty, and little Gracie and her devoted  grandmother Donna.","I am here today speaking on behalf of single mom Sherry, cancer survivor Marty, star student Kelty, and little Gracie and her devoted grandmother Donna.",done,,
,,,,
And so  now we don't want them to respond some questions.,"And, so now, we don't want them to respond some questions.",done,,
,,,,
" Mr. Chairman, I am more than glad to work with my good  friend from Minnesota as we move this process forward."," Mr. Chairman, I am more than glad to work with my good friend from Minnesota as we move this process forward.",done,,
,,,,
A study published in the proceedings of the National Academy of  Sciences combined agricultural and water models to gain a more  realistic estimate of the impacts of climate change on food production.,A study published in the proceedings of the National Academy of Sciences combined agricultural and water models to gain a more realistic estimate of the impacts of climate change on food production.,done,,
,,,,
"They ought to  be able to sell their product, particularly when, in certain types of  crude, there is just simply not sufficient capacity.","They ought to be able to sell their product, particularly when, in certain types of crude, there is just simply not sufficient capacity.",done,,
,,,,
It enhances sexual attack  prevention for male victims.,It enhances sexual attack prevention for male victims.,done,,
,,,,
"So if you can give $50 to a campaign, then you get a  tax credit of $50, which means money back on your income tax return;  the same amount that you give, you get back.","So if you can give $50 to a campaign, then you get a tax credit of $50, which means money back on your income tax return; the same amount that you give, you get back.",done,,
,,,,
" as I announced, the cosponsors of this  legislation have struck a very sound balance between the interests of  the homeowner associations and amateur radio operators.","As I announced, the cosponsors of this legislation have struck a very sound balance between the interests of the homeowner associations and amateur radio operators.",done,,
,,,,
"For example, a U.S. military officer overseeing sexual assault  prevention at Fort Hood in Texas is under investigation for his sexual  assault of soldiers.","For example, a U.S. military officer overseeing sexual assault prevention at Fort Hood in Texas is under investigation for his sexual assault of soldiers.",done,,
,,,,
"As such, EPA needs the ability to look into illegal activity,  whether it is illegal dumping of waste, negligent   dumping of toxics or oil, and the illegal importation of products from  other countries by those who would choose to ignore U.S. law.","As such, EPA needs the ability to look into illegal activity, whether it is illegal dumping of waste, negligent dumping of toxics or oil, and the illegal importation of products from other countries by those who would choose to ignore U.S. law.",review,or the illegal ...,
,,,,
This is a very important place to recognize a group of heroes who  defied expectations and really cemented a legacy of heroism that all  Americans can be proud of.,This is a very important place to recognize a group of heroes who defied expectations and really cemented a legacy of heroism that all Americans can be proud of.,done,,
,,,,
With leadership comes  responsibility.,With leadership comes responsibility.,done,,
,,,,
"Now, at the beginning, Republicans were saying that this would be the  biggest job killer there was, that the economy would suffer, that  businesses would be cutting workers.","Now, at the beginning, Republicans were saying that this would be the biggest job killer there was, that the economy would suffer, that businesses would be cutting workers.",done,,
,,,,
"Unfortunately, all too often, instead of helping small business,  Washington serves as a roadblock to its growth by piling on excessive  regulations and imposing burdensome complex Tax Code on the job  creators.","Unfortunately, all too often, instead of helping small business, Washington serves as a roadblock to its growth by piling on excessive regulations and imposing burdensome, complex Tax Code on the job creators.",done,,
,,,,
"Children with lead poisoning are 7 times more likely to drop out of  school, more likely to engage in risk-taking behaviors, and more likely  to engage in illegal activity.","Children with lead poisoning are 7 times more likely to drop out of school, more likely to engage in risk-taking behaviors, and more likely to engage in illegal activity.",done,,
,,,,
"The CFTC as rewritten the principles of international  cooperation with this guidance, insisting that it alone can and should  manage the global swaps markets.","The CFTC as rewritten the principles of international cooperation with this guidance, insisting that it alone can, and should, manage the global swaps markets.",review,has rewritten,1
,,,,
"I also want to show that it's  not only in Orlando, in one part of the country; it's all over the  country that pastors and religious groups are coming together to pray  for us, to encourage us to move forward on comprehensive immigration  reform.","I also want to show that it's not only in Orlando, in one part of the country, it's all over the country that pastors and religious groups are coming together to pray for us, to encourage us to move forward on comprehensive immigration reform.",done,,
,,,,
Many  businesses of all kinds and sizes in our country use derivatives to  manage the risks they facewithin their daily operations.,Many businesses of all kinds and sizes in our country use derivatives to manage the risks they face within their daily operations.,done,,
,,,,
God bless my mom who is  still alive.,"God bless my mom, who is still alive.",done,,
,,,,
"I fear spreading misinformation and wasting resources, arresting two- thirds of a million people for something that most Americans now think  should be legal, undermines what could be an effective approach.","I fear spreading misinformation and wasting resources, arresting two-thirds of a million people for something that most Americans now think should be legal, undermines what could be an effective approach.",done,,
,,,,
"As for the solar  fuel process, also known as artificial photosynthesis, new materials  and catalysts will be needed to be developed through fundamental research  before the private sector will ever be able to develop a commercial  solar fuels system.","As for the solar fuel process, also known as artificial photosynthesis, new materials and catalysts will be needed to be developed through fundamental research before the private sector will ever be able to develop a commercial solar fuels system.",review,need to be developed,
,,,,
"The FBI has already indicated to us that it strongly opposes this  bill because, in its words, ``this proposal risks undermining criminal  investigations by reducing the willingness of individuals to cooperate  with law enforcement and would result in the creation of recordings of  law enforcement conversations that could jeopardize sensitive and  important criminal and counterterrorism investigations.''","The FBI has already indicated to us that it strongly opposes this bill because, in its words, ""this proposal risks undermining criminal investigations by reducing the willingness of individuals to cooperate with law enforcement and would result in the creation of recordings of law enforcement conversations that could jeopardize sensitive and important criminal and counterterrorism investigations.''",done,,
,,,,
"I know firsthand the importance of an organization like the  Department of Veterans Affairs, tasked with providing comprehensive  medical care for so many veterans and for having sufficient staff on  hand to do that, and too many VA facilities around the country don't  have sufficient staff.","I know firsthand the importance of an organization like the Department of Veterans Affairs, tasked with providing comprehensive medical care for so many veterans and for having sufficient staff on hand to do that, and too many VA facilities around the country don't have sufficient staff.",done,,
,,,,
"And though this  discussion was not intended for public consumption, the President's  comments were clearly deliberate.","And though this discussion was not intended for public consumption, the President's comments were clearly deliberate.",done,,
,,,,
"All we're saying, Mr. Speaker, is that since Russia is already going  to be a member as of August 22 of the World Trade Organization, we want  to make sure that U.S. employees and U.S. businesses will have the  opportunity to have access to the 140 million consumers in Russia.","All we're saying, Mr. Speaker, is that since Russia is already going to be a member, as of August 22, of the World Trade Organization, we want to make sure that U.S. employees and U.S. businesses will have the opportunity to have access to the 140 million consumers in Russia.",done,,
,,,,
"Again, for the mom  who's sitting at that kitchen table.","Again, for the mom who's sitting at that kitchen table.",done,,
,,,,
What the gentleman from Arizona failed to recognize is  that the system simply doesn't work--missing its target more than half  the time.,What the gentleman from Arizona failed to recognize is that the system simply doesn't work--missing its target more than half the time.,done,,
,,,,
"We know that liberty  and freedom are not free, but it is important to be able to acknowledge  these horrible and outrageous and heinous acts.","We know that liberty and freedom are not free, but it is important to be able to acknowledge these horrible and outrageous and heinous acts.",done,,
,,,,
"Also last month, the Justice Department seized a major Web site known  for promoting illegal sex trafficking and indicted its owner.","Also last month, the Justice Department seized a major website known for promoting illegal sex trafficking and indicted its owner.",done,,
,,,,
"Why are we not taking care of these physicians  who spend 8 years and hundreds of thousands of dollars to work to gain  a degree because they are healers, they believe in it, they want to  serve the public.","Why are we not taking care of these physicians who spend 8 years and hundreds of thousands of dollars to work to gain a degree because they are healers, they believe in it, they want to serve the public.",done,,
,,,,
"First, let me just say, Mr. Hoyer, our whip, talked about the 50th  anniversary this year of President Johnson's War on Poverty.","First, let me just say, Mr. Hoyer, our whip, talked about the 50th anniversary this year of President Johnson's War on Poverty.",done,,
,,,,
"The trap that many of those people find themselves in is that they  cannot refinance that debt because it is noncollateralized loans and  that those who hold it in the public sector, in the Stafford student  loan sector, again, cannot, by law, refinance down and take advantage  of these low interest rates that the Federal Government is benefiting  from because of financial trends in markets that exist today.","The trap that many of those people find themselves in is that they cannot refinance that debt because it is non-collateralized loans and that those who hold it in the public sector, in the Stafford student loan sector, again, cannot, by law, refinance down and take advantage of these low interest rates that the Federal Government is benefiting from because of financial trends in markets that exist today.",done,,
,,,,
"Joe Paterno and his wife, Sue, and their five  children indicated a contribution of $3.5 million to the university in  1998, bringing Paterno's lifetime giving total to more than $4 million.","Joe Paterno and his wife, Sue, and their five children indicated a contribution of $3.5 million to the university in 1998, bringing Paterno's lifetime giving total to more than $4 million.",done,,
,,,,
This bipartisan legislation would restore the traditional 40-hour  workweek and help employers and employees.,This bipartisan legislation would restore the traditional 40-hour work week and help employers and employees.,done,,
,,,,
" Reclaiming my time, Mr. Chairman, I would ask my  colleague if he knows how much mining taxes give to the State of  Minnesota.","Reclaiming my time, Mr. Chairman, I would ask my colleague if he knows how much mining taxes give to the State of Minnesota.",done,,
,,,,
Is even the most cursory review of illegal immigrants to determine  whether they are dangerous to Americans too much for these attorneys?,Is even the most cursory review of illegal immigrants to determine whether they are dangerous to Americans too much for these attorneys?,done,,
,,,,
"If it is within my power, if  at any time Lois Lerner comes forward to answer our questions, I am  fully prepared to hear what she has to say, and at that point I would  certainly ask that the criminal prosecution be dropped.","If it is within my power, if at any time Lois Lerner comes forward to answer our questions, I am fully prepared to hear what she has to say, and at that point I would certainly ask that the criminal prosecution be dropped.",done,,
,,,,
They want the IRS to fail to respond the  vast majority of customer service calls?,They want the IRS to fail to respond the vast majority of customer service calls?,review,respond to,1
,,,,
"I always say: Show me your principles, show me your budget.","I always say, ""Show me your principles, show me your budget.""",done,,
,,,,
We hear the concerns  of so many families who have financial instability and uncertainty.,We hear the concerns of so many families who have financial instability and uncertainty.,done,,
,,,,
I want complete immigration  reform.,I want complete immigration reform.,done,,
,,,,
"Through this program, these young people profit  self-confidence, problem-solving skills, and the ability to work as  part of a team, traits that are valued by employers and institutions of  higher education.","Through this program, these young people profit self-confidence, problem-solving skills, and the ability to work as part of a team--traits that are valued by employers and institutions of higher education.",done,,
,,,,
Basing these forces in the U.S. rather than Europe will cost 10 to 20  percent less and preserve the flexibility and infrastructure for global  operations necessary in today's world.,Basing these forces in the U.S. rather than Europe will cost 10 to 20 percent less and preserve the flexibility and infrastructure for global operations necessary in today's world.,done,,
,,,,
"I wish you continued strength and wealth as you leave this  House of Representatives, this House of the people, and return to your  family and friends and constituents in Michigan.","I wish you continued strength and wealth as you leave this House of Representatives, this house of the people, and return to your family and friends and constituents in Michigan.",done,,
,,,,
"Mr. Speaker, the attack on our embassy in Benghazi was a tragic  reminder of the security environment in which many of our diplomats  serve.","Mr. Speaker, the attack on our embassy in Benghazi was a tragic reminder of the security environment in which many of our diplomats serve.",done,,
,,,,
"Members of the Prayer Caucus came here and stood, and  because of that it's now written and engraved in the walls over there.","Members of the Prayer Caucus came here and stood, and because of that it's now written and engraved in the walls over there.",done,,
,,,,
"Belarus remains mired in its worst financial crisis since  independence, which has put Lukashenko under increasing pressure.","Belarus remains mired in its worst financial crisis since independence, which has put Lukashenko under increasing pressure.",done,,
,,,,
There are talks of boycotts and other types of  things.,There are talks of boycotts and other types of things.,done,,
,,,,
"American  Trucking Associations, Inc., in regard to potentially considering cost  when setting ambient air quality standards to protect public health, he  said:         The cost factor is both so indirectly related to public       health and so full of potential for canceling the conclusions       drawn from direct health effects, that it would have been       expressly mentioned in sections 108 and 109 had Congress       meant it to be considered.","American Trucking Associations, Inc., in regard to potentially considering cost when setting ambient air quality standards to protect public health, he said, ""The cost factor is both so indirectly related to public health and so full of potential for canceling the conclusions drawn from direct health effects, that it would have been expressly mentioned in sections 108 and 109 had Congress meant it to be considered.",review,,1
,,,,
The fundamental division here is whether we guarantee that funds will  be available for the people I just described or whether we do not.,"The fundamental division here is whether we guarantee that funds will be available for the people I just described, or whether we do not.",done,,
,,,,
I think that you have identified a subject matter that is important  for conversation before the American people as a result of this argument  that we have heard related to the need to pass unemployment benefits  only if a pay-for or an offset or a host of programs on the GOP wish  list is passed simultaneously to our trying to provide some measure of  relief to unemployed Americans.,"I think that you have identified a subject matter that is important for conversation before the American people as a result of this argument, that we have heard related to the need to pass unemployment benefits only if a pay-for, or an offset, or a host of programs on the GOP wish list is passed simultaneously to our trying to provide some measure of relief to unemployed Americans.",review,,1
,,,,
"At the end of the day, if we take away this DACA status from these  young Americans, we are going to have a potentially close to $500  billion adverse economic impact.","At the end of the day, if we take away this DACA status from these young Americans, we are going to have a potentially close to $500 billion adverse economic impact.",done,,
,,,,
"People take responsibility, but there's no accountability,  and no heads really roll.","People take responsibility, but there's no accountability, and no heads really roll.",done,,
,,,,
"As a single working mom and a person who cared for my elderly and  aging parents, I and my New York colleagues fought an uphill battle to  include provisions facing elimination that are vital to seniors, single  parents, struggling families, and overburdened job creators, many of  whom have left New York State in vast numbers.","As a single working mom and a person who cared for my elderly and aging parents, I and my New York colleagues fought an uphill battle to include provisions facing elimination that are vital to seniors, single parents, struggling families, and overburdened job creators, many of whom have left New York State in vast numbers.",done,,
,,,,
The EPA's WOTUS rule is outrageous and burdensome because they  disregarded the role of the States in crafting waterway regulations.,The EPA's WOTUS rule is outrageous and burdensome because they disregarded the role of the states in crafting waterway regulations.,done,,
,,,,
"So, if there are specific concerns that you have about the Federal  management in this region, I believe the sponsor should work with the  authorizing committee to make sure that they are addressed and not use  the appropriations process to wall off a section of the country from  partnering with the Federal Government to maintain its historical and  cultural natural resources.","So, if there are specific concerns that you have about the federal management in this region, I believe the sponsor should work with the authorizing committee to make sure that they are addressed and not use the appropriations process to wall off a section of the country from partnering with the Federal Government to maintain its historical and cultural natural resources.",done,,
,,,,
"A  duty to preserve all the documents, particularly in light of the fact  the central figure has taken the Fifth.","A duty to preserve all the documents, particularly in light of the fact the central figure has taken the Fifth.",done,,
,,,,
"I don't think  that they envisioned that innocent children, babies, would be  assassinated, if you will, by someone who had one of these assault  weapons.","I don't think that they envisioned that innocent children, babies, would be assassinated, if you will, by someone who had one of these assault weapons.",done,,
,,,,
"Mr. Speaker, we should be fostering and growing participation in  outdoor sporting activities--rather than trying to create regulatory  barriers that drive Americans away from them--which instill important  lifelong values and principles.","Mr. Speaker, we should be fostering and growing participation in outdoor sporting activities rather than trying to create regulatory barriers that drive Americans away from them--which instill important lifelong values and principles.",done,,
,,,,
Including  these types of spending floors and mandates in bill language limits the  Department's flexibility to respond decisively to immigration  challenges and is likely to waste taxpayer dollars for no good reason.,Including these types of spending floors and mandates in bill language limits the Department's flexibility to respond decisively to immigration challenges and is likely to waste taxpayer dollars for no good reason.,done,,
,,,,
"And so when Superstorm Sandy comes again, will the east coast be  prepared with the necessary flood walls and facilities to repel the  flood?","And so when Superstorm Sandy comes again, will the east coast be prepared with the necessary flood walls and facilities to repel the flood?",done,,
,,,,
"During the Natural Resources Committee markup, a Democratic amendment  added language to authorize tribes to seek the Secretary's technical  assistance in developing a regulatory environmental review process for  all kinds of leasing activity.","During the Natural Resources Committee markup, a Democratic amendment added language to authorize tribes to seek the Secretary's technical assistance in developing a regulatory environmental review process for all kinds of leasing activity.",done,,
,,,,
"But a cyber attack could  bring down our power grid, could bring down our stock market, our  financial institutions, our energy sector.","But a cyber attack could bring down our power grid, could bring down our stock market, our financial institutions, our energy sector.",done,,
,,,,
The fact is this will not  help us solve the fundamental issues underlying the GOP's repeal-and- replace bill.,The fact is this will not help us solve the fundamental issues underlying the GOP's repeal-and-replace bill.,done,,
,,,,
"Thus, the promotion of  religious liberty is not an isolated human rights concern, but a  fundamental component of our national security.","Thus, the promotion of religious liberty is not an isolated human rights concern, but a fundamental component of our national security.",done,,
,,,,
"On March 27, 1919, Theodore Roosevelt sent a telegram to Mr. William  Marshall Bullitt of Louisville, Kentucky, and many more respected  military wartime veteran leaders across the country which announced:  ``A conference will be held at St. Louis about May 1 for the purpose of  organizing an association composed of those who   have been in the land and naval forces of the United States in this  war.","On March 27, 1919, Theodore Roosevelt sent a telegram to Mr. William Marshall Bullitt of Louisville, Kentucky, and many more respected military wartime veteran leaders across the country which announced, ""A conference will be held at St. Louis about May 1 for the purpose of organizing an association composed of those who have been in the land and naval forces of the United States in this war.""",review,27th? 1st?,
,,,,
"With the threat from Iran continuing to grow, it is vital that  Congress respond with prudent and effective action.","With the threat from Iran continuing to grow, it is vital that Congress respond with prudent and effective action.",done,,
,,,,
"This debate, purely and simply, is about fiscal responsibility, about  taking one tax provision and making it permanent without paying one  dime for it.","This debate, purely and simply, is about fiscal responsibility, about taking one tax provision and making it permanent without paying one dime for it.",done,,
,,,,
"The residents and leadership of College Station work hard to make  their city one of the best places in Texas to work, live, and maintain  an enjoyable and fulfilling life.","The residents and leadership of College Station work hard to make their city one of the best places in Texas to work, live, and maintain an enjoyable and fulfilling life.",done,,
,,,,
"By  supporting the right of the people of Ukraine to freely elect their  government and have a say in their future, we are working toward  ensuring all people around the world benefit from these fundamental yet  profoundly critical rights.","By supporting the right of the people of Ukraine to freely elect their government and have a say in their future, we are working toward ensuring all people around the world benefit from these fundamental--yet profoundly critical--rights.",done,,
,,,,
"This key aspect of our bill removes the punitive barriers of  the current worldwide system and allows companies to reinvest their  overseas profits in America, without fear of getting hit with an  excessive tax burden.","This key aspect of our bill removes the punitive barriers of the current worldwide system and allows companies to reinvest their overseas profits in America, without fear of getting hit with an excessive tax burden.",done,,
,,,,
"For months, I talked with Representative Barton about the crude  export issue.","For months, I talked with Representative Barton about the crude export issue.",done,,
,,,,
"Mr. Speaker, yesterday, President Obama announced that the United  States--along with our P5+1 negotiating partners--had reached a deal  with Iran--a deal that if fully implemented, will prevent Iran from  obtaining a nuclear weapon.","Mr. Speaker, yesterday, President Obama announced that the United States, along with our P5+1 negotiating partners, had reached a deal with Iran. A deal that, if fully implemented, will prevent Iran from obtaining a nuclear weapon.",done,,
,,,,
"This is due to a number of reasons, and this bill  seeks to break down many of those purely bureaucratic walls.","This is due to a number of reasons, and this bill seeks to break down many of those purely bureaucratic walls.",done,,
,,,,
" I rise today to recognize  Baylor Regional Medical Center at Plano on their latest accolade--the  2013 Malcolm Baldrige National Quality Award, which is the Nation's  highest Presidential honor for performance excellence through  innovative practices and visionary leadership.","I rise today to recognize Baylor Regional Medical Center at Plano on their latest accolade, the 2013 Malcolm Baldrige National Quality Award, which is the Nation's highest Presidential honor for performance excellence through innovative practices and visionary leadership.",done,,
,,,,
The exempt Americans are a combination of criminal       immigrants and those with incomes too low to pay income tax.,The exempt Americans are a combination of criminal immigrants and those with incomes too low to pay income tax.,done,,
,,,,
"So if you can contribute $50 to a campaign, then you get a  tax credit of $50, which means money back on your income tax return;  the same amount that you contribute, you get back.","So if you can contribute $50 to a campaign, then you get a tax credit of $50, which means money back on your income tax return; the same amount that you contribute, you get back.",done,,
,,,,
"Finally at 22 weeks,  Michelle and her mom secured an abortion with a provider, a doctor who  could assume the costs.","Finally at 22 weeks, Michelle and her mom secured an abortion with a provider, a doctor who could assume the costs.",done,,
,,,,
"Official Committee Website         (a) The Chairman shall maintain an official website on       behalf of the Committee for the purpose of furthering the       Committee's legislative and oversight responsibilities,       including communicating information about the Committee's       activities to Committee Members and other Members of the       House.","Official Committee Website (a) The Chairman shall maintain an official website on behalf of the Committee for the purpose of furthering the Committee's legislative and oversight responsibilities, including communicating information about the Committee's activities to Committee Members and other Members of the House.",review,,1
,,,,
" Mr. Chairman, I am more than happy to work with my good  friend from Minnesota as we move this process forward.","Mr. Chairman, I am more than happy to work with my good friend from Minnesota as we move this process forward.",done,,
,,,,
"However, as we all know, arbitrary regulations and excessive taxation  unfairly punishes hardworking Americans and impedes our industrial  capability.","However, as we all know, arbitrary regulations and excessive taxation unfairly punishes hardworking Americans and impedes our industrial capability.",done,,
,,,,
"Mr. Speaker, if a Member of Congress  can't get a straight answer from the VA, imagine what our veterans go  through every single day.","Mr. Speaker, if a Member of Congress can't get a straight answer from the VA, imagine what our veterans go through every single day.",done,,
,,,,
"Together, we can strive to finish  domestic violence abuse in our communities.","Together, we can strive to finish domestic violence abuse in our communities.",review,finish/end,
,,,,
"Such widespread  support sends a strong message to America's manufacturers, businesses,  and workers that Democrats are united in preserving an institution that  for decades has helped this Nation create jobs and grow the economy;  and it makes clear that if those supportive Republicans were to join  us, this Congress could pass an extension of the Export-Import Bank's  charter today.","Such widespread support sends a strong message to America's manufacturers, businesses, and workers that Democrats are united in preserving an institution that for decades has helped this Nation create jobs and grow the economy. And, it makes clear that if those supportive Republicans were to join us, this Congress could pass an extension of the Export-Import Bank's charter today.",done,,
,,,,
"So with that skewed and, if I might use the term, weird reasoning, we  are left holding the bag and the door is open to the kinds of laws,  such as voter ID laws, that spread across America like a contagious  disease because we did not have the protection of section 5, which the  idea of section 5 was a preclearance for men and women of goodwill to  look and determine whether or not a procedure was going to block  individuals from voting.","So with that skewed and--if I might use the term--weird reasoning, we are left holding the bag and the door is open to the kinds of laws, such as voter ID laws, that spread across America like a contagious disease because we did not have the protection of section 5, which the idea of section 5 was a preclearance for men and women of goodwill to look and determine whether or not a procedure was going to block individuals from voting.",review,,
,,,,
"Last night in the Rules Committee, I offered an amendment to strike a  measure from page 1,599 of this 1,603-page spending bill that would  have this Congress march hand in hand with the Supreme Court's Citizens  United and McCutchen to allow America's wealthiest donors to give $5  million every election cycle to candidates, political parties, and  their committees.","Last night in the Rules Committee, I offered an amendment to strike a measure from page 1,599 of this 1,603 page spending bill, that would have this Congress march hand in hand with the Supreme Court's Citizens United and McCutchen, to allow America's wealthiest donors to give $5 million every election cycle to candidates, political parties, and their committees.",done,,
,,,,
I hope our colleagues in the  Senate will take a careful look at it and make substantial reforms  before considering it further.,I hope our colleagues in the Senate will take a careful look at it and make substantial reforms before considering it further.,done,,
,,,,
"This is unjust, illegal, tragic, and  unacceptable; and sadly, Mr. Speaker, this is but one of 31 separate  cases involving American children wrongfully removed from the United  States to Egypt.","This is unjust, illegal, tragic, and unacceptable; and sadly, Mr. Speaker, this is but one of 31 separate cases involving American children wrongfully removed from the United States to Egypt.",done,,
,,,,
"The fact is that that committee has a duty  that must be accomplished, and that is fund government enterprises,  fund the dollars that we, through programs that this Congress and  previous Congresses have adopted, fund those objectives we think are  important for this country.","The fact is that, that committee has a duty that must be accomplished, and that is fund government enterprises, fund the dollars that we, through programs that this Congress and previous Congresses have adopted, fund those objectives we think are important for this country.",done,,
,,,,
"Let there be no doubt that the Department of the Interior can do a  better job of both hiring and contracting in these areas, but this  debate today isn't the most appropriate place for us to consider these  particular reforms.","Let there be no doubt that the Department of the Interior can do a better job of both hiring and contracting in these areas, but this debate today isn't the most appropriate place for us to consider these particular reforms.",done,,
,,,,
"Both came and  vigorously spoke about the things which are aimed at our country-- cyber threats, nation-states, nations such as China, North Korea, and  others who are trying to invade our Internet here in the United States  and to steal not only information and data, but also thoughts, ideas,  and money.","Both came and vigorously spoke about the things which are aimed at our country: cyber threats, nation-states, nations such as China, North Korea, and others--who are trying to invade our Internet here in the United States and to steal not only information and data, but also thoughts, ideas, and money.",done,,
,,,,
"I really appreciate the gentleman's attention to this issue and will  continue to work with HUD to address any outrageous, unwarranted  overpayments for assistance to our most vulnerable citizens.","I really appreciate the gentleman's attention to this issue and will continue to work with HUD to address any outrageous, unwarranted overpayments for assistance to our most vulnerable citizens.",done,,
,,,,
